,t=0,t=2,t=4,t=6,t=7
542,0.8184790564524888,1.357988206516504,2.4249729499172856,4.7786928988915855,10.723843791837258
543,1.023296318119439,1.7514699261267743,3.2591398658224455,6.800016164397831,16.587956162195617
544,2.4012551963516944,4.723378952092317,10.668020358550729,29.710692427545737,116.20694498131024
545,1.4541619820192322,2.624854763393512,5.249767783143131,12.148074489809975,34.74355824554981
546,1.2048206331939537,2.1123433079252525,4.059863287060912,8.868073289261982,23.181845709018116
547,1.100169435053185,1.90296923412922,3.591345748783409,7.643612595714353,19.208829087721373
548,1.1150817870313452,1.9325868380745272,3.656968772986685,7.81270922970692,19.745782435397842
549,0.45882218566099264,0.7083334327241168,1.152994380368826,2.008213314589957,3.7988822456660984
550,1.8987148463474937,3.581937378251128,7.619434708388379,19.333750532700517,64.29799915993178
551,2.0125920181713717,3.8353179342534904,8.276273703495043,21.46670271803532,74.10692655826541
552,1.498827102033337,2.7185897579911495,5.473647863866126,12.79098807845233,37.158372511419714
553,0.45167222409804525,0.696043243336496,1.1304295044276265,1.9631454131460702,3.699142734423669
554,0.3997767027761823,0.607687073739212,0.9701343536613719,1.6478839890096975,3.015474710730472
555,0.6364879381826551,1.022005335430592,1.7489428242326484,3.2536484750627217,6.731758460752748
556,1.4050857780586077,2.522521200635074,5.007501861124866,11.461322370416818,32.21660768195643
557,0.8393603418575665,1.3973928039784935,2.506543110849434,4.969880388188501,11.251891492238313
558,1.0104113205390333,1.7262732610736957,3.2044621261775346,6.663197060025954,16.172159640259657
559,0.9727137302380873,1.6528870447088075,3.0461648602173876,6.270406424885848,14.993201908475775
560,1.22435850293221,2.151820003217035,4.149383452987893,9.106499139425667,23.977955355201562
561,3.265486221969288,6.815934210906552,16.805563096063292,53.99799829735,276.8795568189706
562,1.3183059121055947,2.3432930705395134,4.588731333915839,10.296716880531251,28.058114090085333
563,0.45508341824488846,0.701903358306802,1.141180760439404,1.9845978484130098,3.7465582215433884
564,0.7742703292461685,1.275124252756858,2.2549490396268554,4.38496985006331,9.65504591716818
565,1.8700408721048987,3.5186447027611285,7.457212766742522,18.816048328998317,61.986615513740105
566,0.8855565096029419,1.485158397554739,2.6898442881265,5.404792798766843,12.474508408598279
567,1.721768983064642,3.1947051853517987,6.638843807194287,16.260671307480735,50.98319770755302
568,1.8470801993936896,3.4681125372587567,7.328235954948113,18.40704672222068,60.17994115217469
569,2.189550573829322,4.235287041765427,9.336609482219355,25.031093925761134,91.50498420176243
570,0.5329607106575193,0.837348686933613,1.3935893549867597,2.4986498369609738,4.914558004128872
571,1.0073212892525496,1.7202392231705304,3.191392708560988,6.630580128135752,16.073424954598504
572,0.6537593533167172,1.0532896569512582,1.8103425068923626,3.3875382985897566,7.065686012272051
