,t=0,t=2,t=4,t=6,t=8,t=9
384,0.9409227662810801,1.5913892265544123,2.9146224039111717,5.94781442799981,14.178311343896452,34.21723347296322
385,1.7466738700363658,3.2487194574868425,6.773896468149303,16.67580789858255,53.4407235758879,193.9046088256253
386,0.6510796781783238,1.0484272253214793,1.8007774447337601,3.366616518056055,7.070640688511766,14.623550111356256
387,0.6975706109312642,1.1332302869138857,1.968730308820896,3.7373457373774928,8.020905599060574,17.019112812706744
388,1.8255204123952424,3.420785216548418,7.207876355510193,18.027466589846046,59.334931159875865,224.19017514321
389,1.1152060696375983,1.9328339849814382,3.657517288572779,7.814125995270974,19.959855150084675,52.65163418775238
390,0.901125620195029,1.514917193863367,2.752494878864335,5.555085899480302,13.026798556835251,30.797284727576816
391,2.7322428603687183,5.506412713089583,12.885737341428488,37.986115105702865,167.8981805262858,1043.879126956322
392,0.7462381238830043,1.222984859123852,2.149040611937475,4.143068659347492,9.08963441358569,19.802303644481064
393,1.7834268766497785,3.3287254406567373,6.974977653345362,17.298760564274833,56.132817890486095,207.54689688726265
394,1.3658315719697063,2.441172774408273,4.816545674576154,10.926695206731702,30.645456740664688,91.70962731590068
395,0.7756998930546055,1.2777916945273773,2.2603898321573443,4.397467199675811,9.774518457166172,21.63316929021522
396,1.6014077628512629,2.9359818674259714,5.999957537670152,14.332963849811307,43.69690188631908,147.24935253332987
397,1.2220774403392123,2.147204890803556,4.138898888048601,9.078502154954077,24.149935407973278,67.23386875882073
398,0.8342208679774475,1.3876786486249735,2.486391783549844,4.922512489235749,11.222641110147547,25.620326837234998
399,1.2793271104737907,2.263522613826548,4.404666201510462,9.794061240462023,26.613768499093194,76.25736705971981
400,0.9642599595625153,1.6364985855361356,3.011010394221881,6.183852410607129,14.881638978054811,36.34889321090902
401,0.6575670196369365,1.0602043227442446,1.8239583753271267,3.4173608855530992,7.199184310321443,14.943088026355003
402,1.3395364414190118,2.386934351282871,4.690041067224025,10.575807089110386,29.379451712074516,86.76728285726166
403,0.5247958428324809,0.8230032386817617,1.3665114094494695,2.4425777795838624,4.819831377591323,9.2745622678481
404,1.0173207989357518,1.7397776514331103,3.233746537603608,6.736402456706796,16.56029183385281,41.56386842787174
405,0.9000779911557493,1.5129119453557724,2.748265443732437,5.544913869605691,12.997288285791775,30.710804071800766
406,0.7861728737884364,1.2973582233038643,2.300366150672985,4.4894999771764095,10.02501896391976,22.311763022160587
407,1.0310281679924975,1.7666170239666745,3.2920893283992783,6.882745541698004,17.012306552397607,42.998097623520245
408,1.9306074837447202,3.6525763589298115,7.801366028538877,19.91866165737722,67.90827801535715,270.9497036800764
409,0.5797530675960053,0.9201874284707545,1.551473394740302,2.829795346959561,5.741655814496042,11.406866804056998
410,2.319428611694316,4.53351376663601,10.145325293717274,27.8470375077298,107.83999176212966,529.7393412297772
411,0.8556113601368288,1.428175332913025,2.5705808586635452,5.120996830606096,11.781876952884392,27.20075857529503
412,0.7094302960103553,1.1550113238897104,2.0122497004790905,3.834551494008762,8.274269191580617,17.670589001271505
413,2.2671194597833293,4.412934385341011,9.816517375828834,26.692145940482682,101.63166713131233,485.1358407285633
414,1.7082342043991365,3.1654189299454827,6.565857618407613,16.03741821215902,50.72565808084901,180.47281404865097
415,1.0491915954342825,1.8022805331871823,3.3699026871187616,7.078950196208442,17.623127999845202,44.956023009141155
416,2.8037934568097236,5.678759669054476,13.386870929869637,39.93640781780228,180.5774566579145,1171.7718920993616
417,1.8503565227054437,3.4753149521586546,7.346589790948743,18.465107601725784,61.28528571925956,234.5473965876657
418,1.5456137714748455,2.817379775231721,5.711606211954549,13.482898644638862,40.313432684641135,132.06843997053653
419,1.0060763440486458,1.717809100252939,3.186131888938311,6.617460312601643,16.195182571555222,40.41458299829529
420,1.4064797913136824,2.5254183727757487,5.014329419898323,11.48054742375219,32.674296314777855,99.79880073767102
421,0.6742512975075275,1.0905773402035066,1.8839571125519023,3.5493365178200253,7.535783740681505,15.78657212770922
422,0.8469913120911927,1.4118347935447315,2.5365529098886745,5.04058642677418,11.554552084240989,26.555651551938492
423,0.906942208888582,1.5260579693461513,2.776013308799485,5.611717379134539,13.191386233772171,31.28069029227278
424,2.2965197388033576,4.480628939343253,10.000810673335826,27.337777337478855,105.08617648261196,509.75746456666116
425,1.038437737109146,1.7811519715237143,3.323763139142424,6.962469823031538,17.259842784146727,43.78881929984307
426,0.7582874813381703,1.2453575122805194,2.194382061331859,4.246311266274972,9.36623290757639,20.537367908287386
427,1.5475613181052819,2.821505248296169,5.721587615586665,13.512112337754,40.42834187535041,132.57520706824286
428,1.4342930952354878,2.583340504967837,5.151213442277038,11.867569133093129,34.11394612377214,105.66321966128228
429,1.0670083727125717,1.8373721767835893,3.4467871744119285,7.273950241851337,18.235593755978595,46.94181729438051
430,2.0131865727841856,3.836649194031101,8.279755670298252,21.4781649309467,75.25907187240466,313.5554019752233
431,0.5232698978847283,0.8203258662670343,1.361466492690396,2.4321548163204754,4.795466973745732,9.21937504312159
432,1.657401250743718,3.0558608357012718,6.294322513276099,15.213663754404074,47.288356355724915,163.94391639306954
433,2.86995526880689,5.839073686575309,13.857116963966483,41.79277484316437,192.98026617996663,1303.5227960724992
434,0.7929697437738175,1.310080028332175,2.326420421225268,4.54967803845556,10.189590315953565,22.76014518191647
435,0.8774814089529257,1.469759085605524,2.657522699446176,5.327580880257273,12.370634907274885,28.888355668938146
436,1.7163501154053205,3.1829741709825967,6.609587971796933,16.17108956357867,51.29047594786893,183.2398502168647
437,1.34591175473086,2.400065703947101,4.720608153340959,10.660349255524341,29.68309700688806,87.94523454552667
438,2.1236273761480566,4.085414193815335,8.935981400827574,23.667075821337722,85.99733041249844,379.90664174393106
439,1.16106185757869,2.024366130132669,3.861697194851388,8.345329431193809,21.694328361086228,58.56861953558421
440,0.8088381040294383,1.3398519397187834,2.3875839039684883,4.691552184543174,10.579982882373287,23.831837878789
441,1.6641113092956497,3.070283322625302,6.329931762231754,15.321074442494135,47.73229744267661,166.04856229261168
442,2.778233864330342,5.617070366421878,13.206969237960159,39.23293315591282,175.96248150375033,1124.4301412825164
443,2.493757920608591,4.939817066921253,11.271143648264887,31.90285271281643,130.6759710844164,707.5419637673922
444,1.325122881658074,2.3572912381887736,4.621180234434131,10.38592139246629,28.70066761066963,84.15112797537066
