,t=0,t=2,t=3
631,1.5859282731157986,3.378252243503694,6.959267229138654
632,0.7369184314404856,1.1946716428117956,1.7782310177708147
633,0.502096865207414,0.7415543378377442,1.007527347304441
634,0.622010361016033,0.9650491711366562,1.374534485251673
635,1.9058228830624266,4.4439670923676875,10.448445444230236
636,1.5426779752728703,3.245048472255786,6.57046891543803
637,1.431117091584336,2.9129291301120293,5.644299019783994
638,1.1016436303308126,2.0248692886821043,3.458099345099876
639,1.3041351440495517,2.5545493240338475,4.712234226551802
640,0.9358809329849073,1.6282197222267216,2.6124973620997367
641,1.5706597561339033,3.3309405752913177,6.820019306395111
642,0.624803303393905,0.9704510985943582,1.3837243798156462
643,0.3024106670347526,0.4064980354779237,0.5076985182792273
644,1.1569090745353743,2.1644362154445766,3.774542934185448
645,0.7169724840106729,1.1537282721622086,1.7042997563901665
646,0.9926976352383249,1.76050005565669,2.885720549533199
647,1.487876152857915,3.079853735125398,6.102162612352933
648,0.9330009557771206,1.6216157103502413,2.599086099672845
649,0.9329235788386088,1.6214384132123236,2.598726349230281
650,0.5347945932188853,0.8008587749650602,1.1023763023916726
651,1.0533551369366079,1.9059413094371966,3.196252423982447
652,0.39762559213339244,0.5603803258837085,0.7294499595678448
653,0.8865792226495209,1.5165063596016346,2.38856237777603
654,1.9625824586610192,4.64846184114316,11.199365687873517
655,1.5353350581441738,3.222682429165018,6.506170223786826
656,0.7975271338458708,1.3218895635735681,2.0133076557782297
657,1.5794946573555286,3.3582784444045646,6.900324617236477
658,2.012848359134984,4.833597938179599,11.90321426068085
659,0.8925321544110615,1.5298444576952857,2.4149720121907294
660,1.0867474382201396,1.98788298725975,3.375899031338019
661,0.72682897082951,1.1739037897668123,1.7406253804076597
662,1.7431482965725287,3.8839764707995053,8.52902071850229
663,0.6227067781074586,0.9663953002278582,1.3768231589812836
664,1.4699518266697582,3.026683887662516,5.9546591983125365
665,0.9146944818825867,1.5798648052506528,2.5148032864483687
666,1.3679547559209286,2.7320890549188954,5.165380849710536
667,1.9889595083796454,4.745135368611153,11.564013706749307
668,0.7046083439109346,1.1285772966456313,1.659302555649863
669,2.6196230843118915,7.3903792852437515,24.30328240880054
670,2.492846433317242,6.804263174869652,20.97222537409956
671,0.6498230887146993,1.0192409342606534,1.4674010549591665
672,0.6909709836617879,1.1010395507083441,1.6104006020049466
673,1.535881194286709,3.2243434475259236,6.510935707102365
674,0.5530567295535079,0.8345165123761482,1.1570282848358666
675,1.3467189050060242,2.6724386510777283,5.011262480629926
676,1.203248827767176,2.284333530107558,4.05434436266635
677,0.7095137889904173,1.1385349176662536,1.6770795062204593
678,1.345226413284262,2.6682679354769725,5.000557598051129
679,1.2685243860067463,2.4577193202670817,4.472104467793907
680,0.9905913082645864,1.755528124719311,2.875292705383674
681,0.8270083889762919,1.3853014907045063,2.1335021585335165
682,1.2377860436895933,2.375412982473465,4.271847240250569
683,0.6659358658099384,1.0510409084446104,1.522590895698073
684,0.8812552324003886,1.504612444855433,2.3650870627193843
