fid,area,perimeter,depth
627,1,4,0.098632813
628,1,4,0.022949219
629,1,4,0.247558594
630,1,4,0.0078125
631,1,4,0.027832031
632,1,4,0.011230469
633,1,4,0.094238281
634,1,4,0.01953125
635,4,10,0.217773438
636,4,10,0.113769531
637,7,16,0.298339844
638,1,4,0.043945313
639,1,4,0.014648438
640,2,6,0.087890625
641,1,4,0.010742188
642,1,4,0.004882813
643,1,4,0.000488281
644,1,4,0.012207031
645,2,6,0.071289063
646,1,4,0.080566406
647,1,4,0.053710938
648,1,4,0.083496094
649,1,4,0.071289063
650,5,12,0.299804688
651,1,4,0.029785156
652,6,14,0.372558594
653,4,10,0.316894531
654,4,8,0.319335938
655,2,6,0.013183594
656,4,10,0.137695313
657,4,10,0.048828125
658,2,6,0.05859375
659,1,4,0.168945313
660,1,4,0.036132813
661,1,4,0.044921875
662,18,24,0.236328125
663,9,16,0.607421875
664,1,4,0.066894531
665,1,4,0.026855469
666,1,4,0.006835938
667,1,4,0.032226563
668,1,4,0.001953125
669,3,8,0.239257813
670,11,22,0.375488281
671,2,6,0.021484375
672,2,6,0.030761719
673,1,4,0.002441406
674,1,4,0.032226563
675,5,12,0.082519531
676,117,86,0.564453125
677,26,34,0.225585938
678,42,46,1.029296875
679,1,4,0.015625
680,1,4,0.113769531
681,2,6,0.164550781
682,1,4,0.034667969
683,1,4,0.002929688
684,4,10,0.213867188
685,1,4,0.169433594
686,1,4,0.092285156
687,2,6,0.306640625
688,1,4,0.06640625
689,1,4,0.069335938
690,1,4,0.075195313
691,1,4,0.030761719
692,1,4,0.000976563
693,1,4,0.637695313
694,2,6,0.192382813
695,1,4,0.035644531
696,1,4,0.035644531
697,1,4,0.002441406
698,1,4,0.454589844
699,1,4,0.002929688
700,1,4,0.025878906
701,1,4,0.000976563
702,1,4,0.013671875
703,1,4,0.006347656
704,3,8,0.114746094
705,5,10,0.219726563
706,2,6,0.090820313
707,1,4,0.049804688
708,1,4,0.034179688
709,1,4,0.119628906
710,1,4,0.009765625
711,3,8,0.037109375
712,7,12,0.148925781
713,1,4,0.055175781
714,1,4,0.125
715,1,4,0.143066406
716,1,4,0.16796875
717,1,4,0.011230469
718,1,4,0.057617188
719,4,10,0.073730469
720,1,4,0.054199219
721,1,4,0.118164063
722,1,4,0.170898438
723,1,4,0.018554688
724,2,6,0.060058594
725,2,6,0.059570313
726,1,4,0.022460938
727,1,4,0.090820313
728,1,4,0.011230469
729,1,4,0.0546875
730,3,8,0.336914063
731,1,4,0.005859375
732,1,4,0.01953125
733,1,4,0.02734375
734,1,4,0.021484375
735,1,4,0.036132813
736,1,4,0.059082031
737,1,4,0.026367188
738,2,6,0.176757813
739,1,4,0.003417969
740,1,4,0.047363281
741,1,4,0.041015625
742,2,6,0.052246094
743,2,6,0.008300781
744,1,4,0.020996094
745,1,4,0.03125
746,1,4,0.072753906
747,1,4,0.004882813
748,1,4,0.006347656
749,2,6,0.045410156
750,2,6,0.131835938
751,1,4,0.03515625
752,1,4,0.012207031
753,1,4,0.066894531
754,1,4,0.0625
755,1,4,0.063476563
756,2,6,0.174316406
757,1,4,0.041015625
758,1,4,0.029296875
759,3,8,0.229492188
760,1,4,0.048828125
761,3,8,0.086425781
762,1,4,0.031738281
763,1,4,0.137695313
764,1,4,0.287109375
765,1,4,0.028808594
766,1,4,0.064453125
767,1,4,0.081542969
768,1,4,0.01171875
769,1,4,0.020507813
770,1,4,0.010253906
771,1,4,0.125976563
772,1,4,0.100585938
773,1,4,0.006347656
774,1,4,0.054199219
775,1,4,0.083007813
776,1,4,0.030761719
777,1,4,0.01953125
778,1,4,0.009765625
779,1,4,0.007324219
780,5,10,0.224121094
781,3,8,0.09375
782,2,6,0.126953125
783,1,4,0.012207031
784,1,4,0.161132813
785,1,4,0.082519531
786,26,32,0.577148438
787,2,6,0.051269531
788,3,8,0.123535156
789,10,14,0.309082031
790,5,12,0.099121094
791,5,10,0.256835938
792,3,8,0.129394531
793,4,10,0.233886719
794,1,4,0.07421875
795,4,10,0.186035156
796,7,12,0.147460938
797,1,4,0.100585938
798,1,4,0.072753906
799,1,4,0.024414063
800,1,4,0.003417969
801,1,4,0.043457031
802,8,16,0.339355469
803,4,10,0.084472656
804,5,10,0.212402344
805,4,10,0.247558594
806,1,4,0.019042969
807,1,4,0.11328125
808,3,8,0.006835938
809,4,10,0.154296875
810,19,28,0.131835938
811,1,4,0.002441406
812,4,10,0.044433594
813,1,4,0.043945313
814,1,4,0.022460938
815,3,8,0.044921875
816,1,4,0.0625
817,1,4,0.020996094
818,1,4,0.078613281
819,1,4,0.059082031
820,5,10,0.062988281
821,1,4,0.11328125
822,1,4,0.002441406
823,1,4,0.062011719
824,1,4,0.045898438
825,1,4,0.153320313
826,1,4,0.052734375
827,1,4,0.03125
828,1,4,0.049804688
829,1,4,0.00390625
830,3,8,0.047363281
831,1,4,0.127441406
832,1,4,0.10546875
833,1,4,0.016601563
834,1,4,0.220703125
835,3,8,0.163085938
836,1,4,0.014160156
837,1,4,0.020507813
838,1,4,0.000488281
839,1,4,0.024902344
840,1,4,0.015625
841,4,10,0.05078125
842,1,4,0.012207031
843,1,4,0.045898438
844,2,6,0.025878906
845,1,4,0.133300781
846,5,10,0.060058594
847,1,4,0.006835938
848,1,4,0.0546875
849,1,4,0.045410156
850,1,4,0.21484375
851,7,16,0.154785156
852,1,4,0.01953125
853,1,4,0.083007813
854,1,4,0.133300781
855,1,4,0.01953125
856,1,4,0.060546875
857,1,4,0.045410156
858,1,4,0.145996094
859,1,4,0.016601563
860,1,4,0.004882813
861,2,6,0.118652344
862,2,6,0.052246094
863,1,4,0.011230469
864,2,6,0.269042969
865,1,4,0.017578125
866,1,4,0.006347656
867,1,4,0.017578125
868,1,4,0.020996094
869,2,6,0.014648438
870,1,4,0.004394531
871,1,4,0.073242188
872,1,4,0.020507813
873,1,4,0.36328125
874,8,14,0.136230469
875,2,6,0.065917969
876,1,4,0.199707031
877,1,4,0.025390625
878,2,6,0.207519531
879,1,4,0.010253906
880,2,6,0.13671875
881,3,8,0.049316406
882,1,4,0.309570313
883,1,4,0.018554688
884,1,4,0.144042969
885,1,4,0.0546875
886,2,6,0.147949219
887,3,8,0.22265625
888,2,6,0.280761719
889,4,10,0.030761719
890,3,8,0.063476563
891,1,4,0.063964844
892,1,4,0.004394531
893,1,4,0.026855469
894,2,6,0.013183594
895,2,6,0.056640625
896,3,8,0.078125
897,12,16,0.139160156
898,1,4,0.014648438
899,1,4,0.085449219
900,2,6,0.112792969
901,1,4,0.213867188
902,1,4,0.006347656
903,1,4,0.036621094
904,1,4,0.032226563
905,2,6,0.089355469
906,1,4,0.003417969
907,6,12,0.223632813
908,2,6,0.057617188
909,1,4,0.076660156
910,1,4,0.001953125
911,1,4,0.083496094
912,1,4,0.051269531
913,2,6,0.184082031
914,5,12,0.219238281
915,6,14,0.33203125
916,5,10,0.248535156
917,2,6,0.006835938
918,1,4,0.0078125
919,1,4,0.02734375
920,1,4,0.02734375
921,1,4,0.039550781
922,2,6,0.055664063
923,1,4,0.230957031
924,3,8,0.227539063
925,2,6,0.014648438
926,2,6,0.073730469
927,1,4,0.065429688
928,31,38,0.666503906
929,1,4,0.002929688
930,2,6,0.069824219
931,1,4,0.018066406
932,1,4,0.009765625
933,4,8,0.267089844
934,1,4,0.119628906
935,1,4,0.06640625
936,1,4,0.02734375
937,1,4,0.001464844
938,10,16,0.173339844
939,1,4,0.068359375
940,1,4,0.008789063
941,1,4,0.014160156
942,1,4,0.005859375
943,3,8,0.045410156
944,1,4,0.038085938
945,2,6,0.045898438
946,1,4,0.008789063
947,1,4,0.104492188
948,2,6,0.008789063
949,1,4,0.042480469
950,2,6,0.067382813
951,2,6,0.025878906
952,1,4,0.005371094
953,1,4,0.033203125
954,1,4,0.02734375
955,1,4,0.004394531
956,1,4,0.166992188
957,2,6,0.272949219
958,3,8,0.033691406
959,3,8,0.071289063
960,3,8,0.05078125
961,1,4,0.113769531
962,2,6,0.12109375
963,1,4,0.047851563
964,1,4,0.076171875
965,1,4,0.125488281
966,1,4,0.028320313
967,3,8,0.096679688
968,407,144,3.690429688
969,39,36,1.458007813
970,326,106,2.856933594
971,23,26,0.663574219
972,2,6,0.078125
973,1,4,0.020996094
974,3,8,0.085449219
975,1,4,0.013183594
976,3,8,0.205566406
977,1,4,0.01953125
978,1,4,0.017089844
979,1,4,0.007324219
980,1,4,0.027832031
981,2,6,0.024902344
982,2,6,0.05078125
983,2,6,0.188964844
984,4,10,0.15234375
985,1,4,0.077636719
986,1,4,0.043945313
987,1,4,0.043945313
988,2,6,0.044433594
989,1,4,0.006347656
990,1,4,0.031738281
991,1,4,0.002441406
992,2,6,0.120605469
993,2,6,0.09375
994,3,8,0.053710938
995,5,10,0.201660156
996,2,6,0.067871094
997,1,4,0.036132813
998,1,4,0.159667969
999,1,4,0.078125
1000,8,16,0.255859375
1001,1,4,0.010253906
1002,1,4,0.138183594
1003,1,4,0.004882813
1004,1,4,0.015136719
1005,1,4,0.03515625
1006,4,8,0.131835938
1007,2,6,0.024414063
1008,1,4,0.049316406
1009,1,4,0.026855469
1010,1,4,0.0078125
1011,1,4,0.003417969
1012,1,4,0.040527344
1013,1,4,0.050292969
1014,4,10,0.187011719
1015,2,6,0.032714844
1016,1,4,0.051757813
1017,1,4,0.0234375
1018,1,4,0.01171875
1019,1,4,0.060546875
1020,1,4,0.061035156
1021,1,4,0.017089844
1022,1,4,0.014160156
1023,1,4,0.010253906
1024,1,4,0.037597656
1025,2,6,0.083984375
1026,3,8,0.25
1027,1,4,0.051757813
1028,2,6,0.026855469
1029,1,4,0.048339844
1030,1,4,0.021484375
1031,1,4,0.102539063
1032,16,22,0.345703125
1033,1,4,0.033203125
1034,26,24,0.717773438
1035,11,20,0.385742188
1036,2,6,0.114257813
1037,1,4,0.010253906
1038,1,4,0.051757813
1039,2,6,0.126464844
1040,10,16,0.255859375
1041,1,4,0.101074219
1042,6,14,0.352050781
1043,1,4,0.010253906
1044,3,8,0.024902344
1045,1,4,0.112304688
1046,4,10,0.094238281
1047,1,4,0.210449219
1048,1,4,0.01953125
1049,1,4,0.009765625
1050,1,4,0.073730469
1051,1,4,0.174804688
1052,1,4,0.164550781
1053,1,4,0.145996094
1054,1,4,0.016601563
1055,1,4,0.052246094
1056,1,4,0.033691406
1057,1,4,0.070800781
1058,1,4,0.046875
1059,1,4,0.042480469
1060,1,4,0.022460938
1061,228,80,0.740722656
1062,2,6,0.065429688
1063,10,18,0.2109375
1064,2,6,0.022460938
1065,1,4,0.029296875
1066,1,4,0.052734375
1067,1,4,0.001953125
1068,1,4,0.108886719
1069,1,4,0.040527344
1070,9,16,0.143066406
1071,1,4,0.008300781
1072,6,14,0.39453125
1073,3,8,0.075683594
1074,1,4,0.040527344
1075,1,4,0.003417969
1076,7,12,0.538085938
1077,2,6,0.144042969
1078,1,4,0.019042969
1079,3,8,0.162109375
1080,1,4,0.01953125
1081,1,4,0.014648438
1082,1,4,0.029785156
1083,3,8,0.047363281
1084,2,6,0.106933594
1085,1,4,0.000976563
1086,1,4,0.093261719
1087,1,4,0.03125
1088,1,4,0.024902344
1089,1,4,0.045898438
1090,1,4,0.052734375
1091,1,4,0.001464844
1092,4,10,0.113769531
1093,3,8,0.092773438
1094,7,12,0.297363281
1095,6,12,0.159179688
1096,1,4,0.022949219
1097,1,4,0.050292969
1098,1,4,0.134765625
1099,1,4,0.012695313
1100,2,6,0.066894531
1101,1,4,0.049804688
1102,1,4,0.009277344
1103,1,4,0.013671875
1104,1,4,0.026855469
1105,1,4,0.006835938
1106,1,4,0.00390625
1107,1,4,0.083984375
1108,2,6,0.364746094
1109,2,6,0.024414063
1110,1,4,0.120117188
1111,1,4,0.013183594
1112,1,4,0.006835938
1113,2,6,0.116699219
1114,2,6,0.116210938
1115,1,4,0.008300781
1116,1,4,0.061523438
1117,1,4,0.002929688
1118,1,4,0.104492188
1119,1,4,0.149414063
1120,1,4,0.018554688
1121,1,4,0.004394531
1122,1,4,0.060058594
1123,2,6,0.080566406
1124,1,4,0.061035156
1125,1,4,0.044921875
1126,1,4,0.076171875
1127,14,22,0.847167969
1128,2,6,0.072753906
1129,1,4,0.068847656
1130,3,8,0.174804688
1131,2,6,0.165527344
1132,1,4,0.020507813
1133,2,6,0.012695313
1134,1,4,0.229492188
1135,1,4,0.027832031
1136,3,8,0.080566406
1137,1,4,0.052246094
1138,1,4,0.010742188
1139,1,4,0.061035156
1140,3,8,0.176757813
1141,1,4,0.047363281
1142,2,6,0.02734375
1143,1,4,0.004882813
1144,1,4,0.296875
1145,1,4,0.059570313
