fid,area,perimeter,depth,%ponded,ponded,pond_area,min_elev
254,5851,850,8.202636719,0.005810972,yes,34,4753.397461
255,1800,328,5.469238281,,no,0,4752.742188
256,10300,672,23.31103516,0.084563107,yes,871,4746.861816
257,97596,3793,38.95751953,0.000256158,yes,25,4720.622559
258,4252,454,15.35351563,,no,0,4729.833496
259,105,82,1.965820313,0,no,0,4755.637695
260,40,48,0.666015625,0,no,0,4752.970215
261,21,34,0.583496094,0,no,0,4761.493652
262,481,208,2.65625,0,no,0,4751.081543
263,57,48,1.220214844,0,no,0,4766.121094
264,1571,516,3.719726563,0.076384468,yes,120,4747.643555
265,5604,466,7.638183594,0.005710207,yes,32,4733.84082
266,8819,1991,5.385253906,0.006576709,yes,58,4744.623535
267,14,24,0.640625,,no,0,4742.226563
268,44,60,1.012207031,0,no,0,4765.600098
269,207,166,1.306640625,,no,0,4791.60791
270,4756,740,5.267089844,0,no,0,4746.445801
271,31635,2045,20.76318359,0.000537379,yes,17,4731.523926
272,217,88,2.719238281,0,no,0,4717.952148
273,190,98,2.3515625,0,no,0,4736.75
274,3012,512,6.244140625,0,no,0,4712.057129
275,699,180,5.369140625,0,no,0,4713.273438
276,100603,3457,29.63134766,0.291154339,yes,29258,4674.853516
277,1186,238,5.399902344,0,no,0,4712.507324
278,17239,2451,10.35205078,0.006032833,yes,104,4706.793945
279,151,92,1.072753906,0,no,0,4697.962891
280,97,72,1.825195313,0,no,0,4686.471191
281,708,178,4.049316406,0,no,0,4690.918945
282,347,126,2.407714844,0,no,0,4684.522949
283,50,50,0.936523438,0,no,0,4697.397461
284,29,40,0.584472656,0,no,0,4693.024414
285,6237,708,6.109375,0.001603335,yes,10,4688.803711
286,14,26,0.373046875,0,no,0,4708.871582
287,172,78,3.650878906,0,no,0,4695.503418
288,10928,1146,10.69726563,0.030929722,yes,337,4677.728516
289,98,90,1.458007813,0,no,0,4690.171875
290,306,170,2.551269531,0,no,0,4684.191406
291,5681,606,10.57910156,0,no,0,4680.616211
292,44654,2019,14.58789063,0.002172258,yes,97,4668.685059
293,706,216,3.191894531,0,no,0,4687.911621
294,42912,3311,18.70410156,0.016172632,yes,694,4674.256348
295,63766,2787,16.56445313,0.138741649,yes,8847,4670.451172
296,31,44,0.2890625,0,no,0,4678.380371
297,81,80,1.337402344,0,no,0,4671.639648
298,24,36,0.430175781,0,no,0,4685.513184
299,31,48,0.875488281,0,no,0,4674.006348
300,987,236,4.132324219,0,no,0,4670.179688
301,238056,18793,4.113769531,0.667191753,yes,158717,4657.605957
302,15,28,0.62890625,0,no,0,4709.958496
303,48,54,0.6796875,0,no,0,4685.453125
304,37,44,1.416015625,0,no,0,4676.66748
305,74,66,0.681640625,0,no,0,4679.044434
306,457,184,2.245605469,0,no,0,4668.257324
307,186,112,1.6640625,0,no,0,4678.49707
308,11,22,0.024414063,1,yes,11,4661.837402
309,18267,1625,11.92382813,0.134942793,yes,2464,4666.030273
363,10,14,0.127929688,0,no,0,4658.634277
375,33,30,1.10546875,0,no,0,4659.262695
376,259,98,0.897460938,0.05019305,yes,13,4663.378418
476,15,30,0.204101563,0,no,0,4658.527344
536,11,18,0.299804688,0,no,0,4662.35498
537,171,112,0.860351563,0,no,0,4662.083984
546,13,20,0.244140625,0,no,0,4662.245605
549,35,64,0.477539063,0,no,0,4655.992676
557,112,76,0.7890625,0,no,0,4661.682617
662,18,24,0.236328125,0,no,0,4664.568359
670,11,22,0.375488281,0,no,0,4585.849609
676,117,86,0.564453125,0,no,0,4665.076172
677,26,34,0.225585938,0,no,0,4656.612305
678,42,46,1.029296875,0,no,0,4663.035156
786,26,32,0.577148438,0,no,0,4638.515137
789,10,14,0.309082031,,no,0,4633.116211
810,19,28,0.131835938,0,no,0,4636.436035
897,12,16,0.139160156,0,no,0,4645.24707
928,31,38,0.666503906,,no,0,4667.67627
938,10,16,0.173339844,0,no,0,4653.840332
968,407,144,3.690429688,0,no,0,4661.988281
969,39,36,1.458007813,0,no,0,4651.625488
970,326,106,2.856933594,0,no,0,4658.799316
971,23,26,0.663574219,0,no,0,4666.886719
1032,16,22,0.345703125,0,no,0,4660.134766
1034,26,24,0.717773438,0,no,0,4659.217773
1035,11,20,0.385742188,0,no,0,4658.903809
1040,10,16,0.255859375,0,no,0,4662.751465
1061,228,80,0.740722656,0,no,0,4660.513672
1063,10,18,0.2109375,0,no,0,4659.553223
1127,14,22,0.847167969,0,no,0,4665.452148
1146,33,28,0.623046875,0,no,0,4662.431152
1159,11,16,0.621582031,0,no,0,4656.10791
1177,26,28,0.685546875,0,no,0,4664.95752
1178,109,80,0.666015625,0,no,0,4659.70459
1179,92,72,0.490722656,0,no,0,4658.523438
1180,115,92,0.534667969,,no,0,4672.333496
1194,366,194,1.213378906,0,no,0,4658.231445
1224,10,16,0.282714844,0,no,0,4665.389648
1225,349,120,2.365234375,0,no,0,4658.304688
1245,24,38,0.626464844,0,no,0,4659.772461
1246,11,16,0.233398438,0,no,0,4661.124023
1282,26,40,0.428710938,0,no,0,4660.937988
1305,15,28,0.308105469,0,no,0,4667.631836
1330,14,22,0.447753906,0,no,0,4665.710938
1331,14,16,0.345214844,0,no,0,4666.461426
1332,15,20,0.39453125,0,no,0,4667.52832
1341,12,20,0.3046875,0,no,0,4663.685059
1396,24,32,0.446289063,0,no,0,4659.573242
1404,236,88,2.704101563,0,no,0,4664.282715
1420,65,52,1.055175781,0,no,0,4666.88623
1436,95,56,1.441894531,0,no,0,4662.239258
1439,23,24,0.907714844,0,no,0,4656.575195
1581,19,30,0.482910156,0,no,0,4661.399902
1616,18,26,0.356933594,0,no,0,4648.182129
1617,21,30,0.547851563,0,no,0,4645.12207
1629,18,24,0.848144531,0,no,0,4662.231445
1665,40,30,0.882324219,0,no,0,4658.356445
1674,47,44,0.873535156,0,no,0,4631.006348
1681,10,20,0.092285156,1,yes,10,4670.15918
1720,55,48,1.552734375,0,no,0,4661.205078
1721,110,70,1.186035156,0,no,0,4661.569824
1732,13,18,0.277832031,0,no,0,4663.118652
1733,37,34,0.596679688,0,no,0,4630.664551
1734,26,28,0.307128906,0,no,0,4672.506348
1742,12,18,0.243164063,0,no,0,4662.545898
1768,35,58,0.235839844,0,no,0,4630.717285
1781,25,24,0.480957031,0,no,0,4641.099609
1805,58,40,0.881835938,0,no,0,4644.545898
1809,65,62,1.663085938,0,no,0,4664.412109
1823,20,24,0.58203125,0,no,0,4649.44873
1838,37,58,0.542480469,0,no,0,4659.174316
1839,20,24,0.667480469,0,no,0,4660.619629
1880,10,16,0.305664063,0,no,0,4659.881348
1956,66,56,0.365722656,0,no,0,4652.885742
1964,292,106,1.326660156,0,no,0,4654.053223
1986,11,18,0.505859375,,no,0,4659.265625
2002,110,68,0.649902344,0,no,0,4661.780762
2006,11,24,0.340820313,0,no,0,4662.373535
2007,34,36,0.950195313,0,no,0,4659.062988
2012,330,112,3.198730469,0,no,0,4647.583008
2013,15,24,0.077636719,1,yes,15,4636.456543
2014,50,42,1.079101563,0,no,0,4663.565918
2042,15,20,0.515136719,0,no,0,4658.261719
2054,10,20,0.081054688,1,yes,10,4630.012695
2055,31,40,0.398925781,0,no,0,4659.564941
2072,23,30,0.448242188,0,no,0,4645.293457
2097,104,72,1.992675781,0,no,0,4659.449707
2114,113,74,1.342285156,0,no,0,4640.021484
2115,58,62,0.720703125,0,no,0,4652.15332
2118,370,122,3.501464844,0,no,0,4653.812012
2125,14,26,0.222167969,0,no,0,4629.874512
2143,33,42,0.62109375,0,no,0,4659.70166
2144,24,28,0.555664063,0,no,0,4661.506348
2198,24,38,0.198730469,0,no,0,4660.12207
2202,115,66,1.610839844,0,no,0,4644.133301
2205,81,58,0.851074219,0,no,0,4657.473633
2210,30,36,0.5390625,0,no,0,4661.45459
2219,14,24,0.248535156,0,no,0,4663.978516
2224,181,136,0.984375,0,no,0,4659.962891
2227,43,30,0.658203125,0,no,0,4647.245117
2235,21,22,0.309082031,0,no,0,4647.414551
2287,12,20,0.449707031,0,no,0,4654.350586
2290,10,18,0.103515625,1,yes,10,4660.016602
2317,13,16,0.252441406,0,no,0,4660.079102
2326,16,30,0.066894531,1,yes,16,4628.769531
2330,69,52,0.7421875,0,no,0,4659.434082
2331,12,18,0.229003906,0,no,0,4662.619141
2333,37,38,0.905273438,0,no,0,4660.374023
2347,4907,830,5.845703125,0.01202364,yes,59,4653.996094
2348,131,90,0.877929688,0,no,0,4648.862793
2360,10,18,0.264160156,0,no,0,4660.576172
2382,64,44,1.32421875,0,no,0,4660.081055
2417,73,72,1.717285156,0,no,0,4663.072266
2428,77,48,0.736328125,0,no,0,4659.547363
2439,21,26,0.495117188,0,no,0,4657.541504
2502,50,40,0.914550781,0,no,0,4661.007324
2534,11,18,0.245117188,,no,0,4668.004883
2541,11,18,0.146972656,0,no,0,4651.230957
2543,47,44,0.732910156,,no,0,4666.05127
2569,39,44,0.443847656,0,no,0,4663.36377
2609,14,26,0.166015625,0,no,0,4663.703125
2623,32,26,0.672363281,0,no,0,4640.308594
2641,16,26,0.297363281,0,no,0,4659.294434
2662,37,50,0.583984375,0,no,0,4688.69873
2664,1371,306,5.505859375,0,no,0,4654.893066
2699,14,26,0.309082031,0,no,0,4668.99707
2718,20,28,0.320800781,0,no,0,4661.699219
2720,37,40,0.55078125,0,no,0,4626.787109
2721,101,74,1.5,0,no,0,4644.368652
2729,61,44,1.013183594,0,no,0,4664.22998
2730,52,40,1.842285156,0,no,0,4657.635742
2779,32,34,0.320800781,0,no,0,4669.081055
2780,52,60,1.258789063,0,no,0,4660.947754
2816,19,38,0.365234375,0,no,0,4661.914063
2824,26,40,1.055175781,0,no,0,4661.697754
2833,21,24,1.036132813,0,no,0,4671.722168
2846,34,42,0.431152344,0,no,0,4672.308594
2850,11,22,0.681640625,0,no,0,4661.553223
2856,16,24,1.642089844,0,no,0,4661.155273
2866,25,26,0.923339844,0,no,0,4670.378906
2901,11,18,0.383300781,0,no,0,4662.474121
2907,12,20,0.349121094,0,no,0,4661.819336
2942,14,18,0.412597656,0,no,0,4672.452148
2945,54,50,0.621582031,0,no,0,4662.231934
2947,44,40,1.337890625,0,no,0,4663.541992
2954,36,36,0.319335938,0,no,0,4672.76416
2979,15,28,0.34765625,0,no,0,4666.412598
3018,18,20,0.25,0,no,0,4673.042969
3039,47,34,0.67578125,0,no,0,4667.865234
3056,186,104,1.146972656,0,no,0,4659.501465
3060,55,44,0.547363281,0,no,0,4666.622559
3103,118,92,1.002929688,0,no,0,4669.837402
3123,17,24,0.398925781,0,no,0,4658.425781
3124,57,48,0.399902344,0,no,0,4661.20166
3125,110,52,1.504882813,0,no,0,4658.071289
3178,10,18,0.329589844,0,no,0,4669.883301
3179,14,22,0.342285156,0,no,0,4664.109375
3187,21,24,0.665527344,0,no,0,4663.619141
3196,48,36,1.521484375,0,no,0,4673.34082
3231,372,158,4.6953125,0,no,0,4664.744141
3232,304,120,1.037597656,0.049342105,yes,15,4661.554688
3324,16,24,0.759277344,0,no,0,4664.194336
3325,29,34,0.754882813,0,no,0,4667.40332
3330,27,30,0.559570313,0,no,0,4672.110352
3349,37,30,1.089355469,0,no,0,4661.291992
3351,10,16,0.365722656,0,no,0,4663.909668
3353,28,38,0.264160156,0,no,0,4674.540527
3356,62,54,0.752441406,0,no,0,4661.37207
3358,30,30,0.714355469,0,no,0,4663.829102
3362,510,190,2.111328125,0.041176471,yes,21,4661.470215
3364,23,28,0.12109375,0.608695652,yes,14,4678.702148
3374,18,24,0.909667969,0,no,0,4661.217773
3375,23,26,0.641113281,0,no,0,4672.324219
3394,25,40,0.881835938,0,no,0,4661.118164
3423,32,34,0.573730469,0,no,0,4661.899414
3425,11,20,0.478515625,0,no,0,4670.521973
3428,11,18,0.429199219,0,no,0,4669.300293
3429,11,22,0.439941406,0,no,0,4661.442871
3432,19,30,0.355957031,0,no,0,4663.711426
3570,11,16,0.453125,0,no,0,4665.424316
3572,12,22,0.942382813,0,no,0,4663.049805
3573,67,44,0.844238281,0,no,0,4660.914551
3590,10,16,0.584472656,0,no,0,4661.666016
3594,11,18,0.3046875,0,no,0,4684.291992
3600,38,40,0.775390625,0,no,0,4666.398438
3606,16,20,0.583984375,0,no,0,4661.916016
3652,25,32,0.804199219,0,no,0,4682.895996
3664,28,32,0.658691406,0,no,0,4662.84082
3675,25,30,0.729003906,0,no,0,4662.84668
3676,50,38,0.907714844,0,no,0,4662.206055
3685,11,16,0.510253906,0,no,0,4669.700195
3701,41,32,0.830078125,0,no,0,4663.515625
3706,11,22,0.376953125,0,no,0,4665.914063
3818,31,28,1.1171875,0,no,0,4660.869629
3821,13,20,0.362792969,0,no,0,4673.913574
3876,14,20,0.612792969,0,no,0,4683.317383
3880,31,28,1.031738281,0,no,0,4663.638672
3913,36,38,1.021972656,0,no,0,4671.868164
3914,25,24,0.450683594,0,no,0,4674.254883
3942,23,32,0.80859375,0,no,0,4671.634277
3944,64,46,1.036132813,0,no,0,4661.965332
3945,33,26,0.701660156,0,no,0,4713.300781
3962,14,20,0.800292969,0,no,0,4677.854004
3997,19,20,1.1328125,0,no,0,4664.61084
4001,42,44,0.60546875,0,no,0,4672.20166
4002,15,26,0.202148438,0,no,0,4668.307129
4012,102,102,0.808105469,0,no,0,4664.291504
4036,49,38,0.959960938,0,no,0,4671.925293
4037,32,42,1.05859375,0,no,0,4665.583496
4051,80,64,0.603027344,0,no,0,4667.907715
4058,21,28,0.7890625,0,no,0,4664.238281
4061,12,18,0.410644531,0,no,0,4670.874512
4070,30,32,0.809570313,0,no,0,4663.014648
4072,119,98,1.406738281,0,no,0,4670.73291
4073,186,106,1.811523438,0,no,0,4669.087891
4092,134,62,2.579101563,0,no,0,4707.562988
4168,10,20,0.231445313,0,no,0,4672.895508
4186,100,56,1.634277344,0,no,0,4668.033691
4220,26,24,0.5703125,0,no,0,4676.218262
4235,140,80,1.11328125,0,no,0,4669.348145
4236,18,32,0.416015625,0,no,0,4683.285156
4242,13,20,0.405761719,0,no,0,4662.83252
4246,23,30,0.579589844,0,no,0,4683.467285
4247,27,32,1.207519531,0,no,0,4676.696777
4279,1073,188,6.853515625,0,no,0,4663.924805
4304,25,24,0.694335938,0,no,0,4662.944824
4311,13,18,0.829589844,0,no,0,4689.050293
4326,16,18,0.701171875,0,no,0,4665.479492
4381,379,198,2.140625,0,no,0,4663.261719
4431,10,20,0.228027344,0,no,0,4667.660156
4435,78,46,0.709960938,0,no,0,4672.516113
4485,30,32,0.31640625,0,no,0,4675.41748
4504,20,26,0.6171875,0,no,0,4667.601563
4549,10,18,0.299804688,0,no,0,4671.604004
4586,11,18,0.25,0,no,0,4669.125977
4588,84,54,0.322753906,0,no,0,4671.688965
4612,18,26,0.235351563,0,no,0,4677.286133
4624,20,30,0.499511719,0,no,0,4662.094727
4674,13,20,0.243652344,0,no,0,4700.28418
4699,12,16,0.355957031,0,no,0,4662.225586
4738,67,44,1.464355469,0,no,0,4677.205078
4739,19,22,0.297851563,0,no,0,4663.638672
4848,11,18,0.599609375,0,no,0,4695.776855
