,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50
819,1.0720692230467828,2.756953919170932,5.223088615294952,8.47047331141873,12.499108007542931,17.308992703667048,22.900127399791526,29.27251209591641,36.42614679204096,44.36103148816585,53.05895422739739
820,0.7091700653669059,2.152448012513041,4.376975959659301,7.382753906805459,11.16978185395182,15.738059801098256,21.087587748244438,27.218365695390688,34.13039364253663,41.82367158968322,50.28047079343638
821,1.8154407429314017,3.890294397488083,6.746398052045038,10.383751706601727,14.802355361158726,20.00220901571587,25.98331267027339,32.74566632482988,40.28926997938623,48.614123633943436,57.70123539369337
822,0.8585517970453823,2.4074026743608146,4.737503551676211,7.848854428991735,11.741455306307373,16.415306183622818,21.87040706093795,28.106757938253473,35.124358815567476,42.92320969288199,51.48537068094416
823,0.7788570982263967,2.2726431091302857,4.547679120034023,7.603965130938026,11.441501141842165,16.06028715274579,21.460323163649935,27.64160917455407,34.60414518545874,42.34793119636071,50.855137447742194
824,1.2027282027916286,2.96421527348368,5.506952344175589,8.830939414867437,12.936176485559319,17.822663556250788,23.49040062694205,29.939387697633837,37.1696247683248,45.1811118390169,53.955483748067785
825,0.9347149795224529,2.5338482151186135,4.914231450714841,8.075864686310917,12.018747921906922,16.74288115750297,22.248264393099433,28.534897628695912,35.60278086429216,43.45191409988867,52.064256881514126
826,0.7036963602613739,2.142904005029203,4.3633616497970795,7.365069294564801,11.14802693933239,15.712234584100367,21.05769222886913,27.18439987363624,34.092357518404164,41.78156516317474,50.234302205152936
827,0.6241761108816215,2.00236132335086,4.161796535819996,7.102481748289277,10.824416960758713,15.32760217322832,20.612037385697352,26.67772259816732,33.524657810636505,41.152843023105746,49.544679677652525
828,3.772995179918183,6.591645090956607,10.191545001994916,14.572694913033377,19.73509482407163,25.67874473510989,32.40364464614821,39.90979455718684,48.197194468226535,57.26584437926091,67.09526480296488
829,2.2089984263690225,4.457460889981307,7.487173353593969,11.298135817206576,15.890348280819344,21.26381074443202,27.41852320804445,34.354485671656875,42.0716981352699,50.57016059888351,59.83053395006429
830,1.1445620475706788,2.8724896308812835,5.381667214191962,8.672094797502819,12.74377238081332,17.59669996412425,23.23087754743466,29.646305130746008,36.842982714055836,44.82091029736452,53.56178983800891
831,1.6388956847394094,3.629762699999618,6.401879715259843,9.955246730519852,14.289863745779996,19.40573076104065,25.302847776301213,31.981214791561555,39.440831806822054,47.68169882208304,56.684991915811146
832,1.300302445706217,3.116312506458586,5.713572567210772,9.092082627962991,13.251842688715403,18.192852749467708,23.91511281021979,30.41862287097247,37.70338293172436,45.76939299247722,54.598178845605986
833,0.5432986785471413,1.8552836436147133,3.9485186086825377,6.823003573750458,10.47873853881841,14.91572350388625,20.133958468953715,26.133443434021135,32.91417839909019,40.476163364159845,48.801932171797006
834,2.073246833688632,4.263718543171929,7.235440252655595,10.988411962138947,15.52263367162262,20.838105381105724,26.93482709058947,33.81279880007202,41.472020509556096,49.91249221903905,59.114990797605195
835,0.7726584921493145,2.262045929613955,4.532683367078536,7.584570804543295,11.417708242007942,16.03209567947251,21.427733116936786,27.604620554401016,34.5627579918662,42.302145429332384,50.80496190442448
